DATAFLOW,LAST UPDATE,freq,s_adj,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAIDQ_10_GDP$DEFAULTVIEW(1.0),04/07/22 23:00:00,Q,NSA,CP_MNAC,B1GQ,EU27_2020,2019-Q4,3657697.4,
ESTAT:NAIDQ_10_GDP$DEFAULTVIEW(1.0),04/07/22 23:00:00,Q,NSA,CP_MNAC,B1GQ,EU27_2020,2020-Q1,3352431.2,
ESTAT:NAIDQ_10_GDP$DEFAULTVIEW(1.0),04/07/22 23:00:00,Q,NSA,CP_MNAC,B1GQ,EU27_2020,2020-Q2,3072628.9,
ESTAT:NAIDQ_10_GDP$DEFAULTVIEW(1.0),04/07/22 23:00:00,Q,NSA,CP_MNAC,B1GQ,EU27_2020,2020-Q3,3413103.7,
ESTAT:NAIDQ_10_GDP$DEFAULTVIEW(1.0),04/07/22 23:00:00,Q,NSA,CP_MNAC,B1GQ,EU27_2020,2020-Q4,3577490.0,
ESTAT:NAIDQ_10_GDP$DEFAULTVIEW(1.0),04/07/22 23:00:00,Q,NSA,CP_MNAC,B1GQ,EU27_2020,2021-Q1,3378563.5,
ESTAT:NAIDQ_10_GDP$DEFAULTVIEW(1.0),04/07/22 23:00:00,Q,NSA,CP_MNAC,B1GQ,EU27_2020,2021-Q2,3558523.4,
ESTAT:NAIDQ_10_GDP$DEFAULTVIEW(1.0),04/07/22 23:00:00,Q,NSA,CP_MNAC,B1GQ,EU27_2020,2021-Q3,3666234.8,
ESTAT:NAIDQ_10_GDP$DEFAULTVIEW(1.0),04/07/22 23:00:00,Q,NSA,CP_MNAC,B1GQ,EU27_2020,2021-Q4,3872346.0,
ESTAT:NAIDQ_10_GDP$DEFAULTVIEW(1.0),04/07/22 23:00:00,Q,NSA,CP_MNAC,B1GQ,EU27_2020,2022-Q1,3700466.6,
